name,ID,Probe_vs_Competition_p.val,Vehicle_vs_Competition_p.val,Vehicle_vs_Probe_p.val,Probe_vs_Competition_p.adj,Vehicle_vs_Competition_p.adj,Vehicle_vs_Probe_p.adj,Probe_vs_Competition_significant,Vehicle_vs_Competition_significant,Vehicle_vs_Probe_significant,significant,Probe_vs_Competition_ratio,Vehicle_vs_Competition_ratio,Vehicle_vs_Probe_ratio,Competition_centered,Probe_centered,Vehicle_centered
FUBP1,Q96AE4,0.7230932945032316,0.5994041571120868,0.860270668295318,0.814,0.868,0.985,FALSE,FALSE,FALSE,FALSE,0.137,0.205,0.0678,-0.114,0.0231,0.0909
G3BP1,Q13283,0.6560379976827849,0.4489884850742546,0.25163123161841855,0.749,0.816,0.955,FALSE,FALSE,FALSE,FALSE,-0.102,0.177,0.278,-0.0249,-0.127,0.152
G6PD,P11413,0.42565496905362704,0.6049281601739613,0.7657140579132302,0.307,0.87,0.984,FALSE,FALSE,FALSE,FALSE,-0.131,-0.0835,0.0476,0.0715,-0.0596,-0.0119
GANAB,Q14697,0.928948747016968,0.6386390871762418,0.7017663896303133,0.91,0.878,0.982,FALSE,FALSE,FALSE,FALSE,0.0587,0.313,0.254,-0.124,-0.0651,0.189
GARS,P41250,0.8740407479526284,0.6376424798100366,0.7518827203347079,0.894,0.877,0.983,FALSE,FALSE,FALSE,FALSE,-0.0361,-0.108,-0.0723,0.0482,0.0121,-0.0602
GDI2,P50395,0.8999947455010526,0.8754225998441401,0.7782754384399067,0.902,0.914,0.984,FALSE,FALSE,FALSE,FALSE,-0.0274,0.0342,0.0615,-0.00226,-0.0296,0.0319
GGCT,O75223,0.6167085480492166,0.11432868763900128,0.2280671742057433,0.698,0.314,0.95,FALSE,FALSE,FALSE,FALSE,0.402,1.43,1.03,-0.612,-0.21,0.822
GLUD1,P00367,0.7606380317297153,0.3445652326074699,0.5033161460052189,0.841,0.749,0.977,FALSE,FALSE,FALSE,FALSE,-0.0558,-0.181,-0.125,0.0789,0.023,-0.102
GMPS,P49915,0.8687587612617206,0.865079277307502,0.9962518501256692,0.892,0.913,0.987,FALSE,FALSE,FALSE,FALSE,0.0377,0.0388,0.00107,-0.0255,0.0122,0.0133
GNAI2,P04899,0.9987629278644368,0.16155437999097172,0.16189666617775858,0.925,0.446,0.929,FALSE,FALSE,FALSE,FALSE,2.23e-4,0.224,0.224,-0.0747,-0.0745,0.149
GNB2L1,P63244,0.9001679564490223,0.9569484319501835,0.8577489276980833,0.902,0.922,0.985,FALSE,FALSE,FALSE,FALSE,0.0249,-0.0107,-0.0356,-0.00473,0.0202,-0.0154
GPI,P06744,0.5319887436699413,0.09669126857919187,0.23036543786323221,0.544,0.259,0.951,FALSE,FALSE,FALSE,FALSE,0.0975,0.295,0.198,-0.131,-0.0335,0.165
GSN,P06396,0.6830471499470979,0.29748995941959133,0.17094347137092442,0.778,0.704,0.933,FALSE,FALSE,FALSE,FALSE,-0.0819,0.22,0.301,-0.0459,-0.128,0.174
GSS,P48637,0.7937327795500113,0.19538742051616725,0.27800408699545875,0.86,0.535,0.959,FALSE,FALSE,FALSE,FALSE,0.106,0.575,0.469,-0.227,-0.121,0.348
GSTP1,P09211,0.7964909408393326,0.9623086878509147,0.7606988919224209,0.861,0.923,0.984,FALSE,FALSE,FALSE,FALSE,0.0761,-0.0139,-0.09,-0.0207,0.0554,-0.0346
